x,y,z,directionX,directionY,directionZ,q_magnitude
-2.5,-1.5,-1.5,0.432322,-0.207632,0.877489,2.84816e-05
-2.25,-1.25,-1.25,0.271801,-0.368106,0.88917,8.61105e-06
-2,-1.5,-1,0.372136,-0.301698,0.877777,1.90216e-05
-1.75,-1.25,-0.75,0.169571,-0.419965,0.891558,5.75332e-06
-2.5,-1,-1,0.43562,-0.224046,0.871802,1.80713e-05
-2.25,-0.75,-0.75,0.30409,-0.326226,0.895045,5.60013e-06
-2,-1,-1.5,0.478541,-0.154596,0.864349,4.42175e-05
-1.75,-0.75,-1.25,0.337427,-0.357352,0.870886,1.11297e-05
-2.5,-1.5,-0.5,0.308465,-0.349942,0.884528,8.11875e-06
-2.25,-1.25,-0.25,0.149097,-0.369084,0.917359,3.00067e-06
-2,-1.5,0,0.200833,-0.44466,0.872894,5.42945e-06
-1.75,-1.25,0.25,0.0282502,-0.424454,0.905009,1.98511e-06
-2.5,-1,0,0.305503,-0.35739,0.882576,5.41371e-06
-2.25,-0.75,0.25,0.207169,-0.333456,0.919722,1.9576e-06
-2,-1,-0.5,0.37287,-0.322309,0.870106,1.21921e-05
-1.75,-0.75,-0.25,0.215635,-0.390819,0.894853,3.76943e-06
-2.5,-1.5,0.5,0.122815,-0.453287,0.882863,2.51216e-06
-2.25,-1.25,0.75,0.0372978,-0.362264,0.931329,1.05201e-06
-2,-1.5,1,-0.0291769,-0.519927,0.853712,1.65702e-06
-1.75,-1.25,1.25,-0.0935754,-0.402036,0.91083,6.45591e-07
-2.5,-1,1,0.126665,-0.45031,0.883842,1.735e-06
-2.25,-0.75,1.25,0.116017,-0.332472,0.93595,6.62426e-07
-2,-1,0.5,0.200875,-0.45025,0.870014,3.65563e-06
-1.75,-0.75,0.75,0.103607,-0.393891,0.913299,1.24862e-06
-2.5,-1.5,1.5,-0.0950107,-0.49485,0.863769,8.23198e-07
-2,-1,1.5,-0.0127297,-0.513179,0.858187,1.12245e-06
-2.5,-0.5,-1.5,0.519668,-0.0890985,0.84971,3.90123e-05
-2.25,-0.25,-1.25,0.431534,-0.279575,0.857681,1.0066e-05
-2,-0.5,-1,0.490671,-0.17813,0.852943,2.65644e-05
-1.75,-0.25,-0.75,0.373025,-0.334707,0.865346,6.8798e-06
-2.5,0,-1,0.53279,-0.102856,0.839973,2.31709e-05
-2.25,0.25,-0.75,0.471337,-0.246843,0.846705,6.0002e-06
-2,0,-1.5,0.563607,-0.029005,0.825534,5.60549e-05
-1.75,0.25,-1.25,0.498287,-0.267663,0.824661,1.22089e-05
-2.5,-0.5,-0.5,0.440336,-0.235107,0.866504,1.13746e-05
-2.25,-0.25,-0.25,0.352433,-0.291359,0.889326,3.49145e-06
-2,-0.5,0,0.378467,-0.335474,0.862682,7.77768e-06
-1.75,-0.25,0.25,0.277359,-0.36132,0.890236,2.32038e-06
-2.5,0,0,0.448344,-0.241182,0.860708,7.10333e-06
-2.25,0.25,0.25,0.409196,-0.262042,0.874009,2.07961e-06
