x,y,z,directionX,directionY,directionZ,q_magnitude
-2.5,-1.5,-1.5,-0.495208,0.738064,-0.458291,1.59944e-05
-2.25,-1.25,-1.25,0.649434,0.713719,-0.262375,1.67998e-05
-2,-1.5,-1,0.412362,0.83767,-0.358142,5.09784e-05
-1.75,-1.25,-0.75,0.359951,0.856897,-0.369001,1.8539e-05
-2.5,-1,-1,0.480145,0.800475,-0.358748,3.36188e-05
-2.25,-0.75,-0.75,0.393137,0.837817,-0.378822,1.16774e-05
-2,-1,-1.5,-0.349802,0.79942,-0.488433,2.14931e-05
-1.75,-0.75,-1.25,0.633309,0.703314,-0.322908,2.13545e-05
-2.5,-1.5,-0.5,0.676423,0.70075,-0.226719,5.53907e-05
-2.25,-1.25,-0.25,0.0092467,0.908765,-0.417207,3.8102e-06
-2,-1.5,0,0.612568,0.740011,-0.277749,3.47309e-05
-1.75,-1.25,0.25,-0.143846,0.902379,-0.406227,2.97666e-06
-2.5,-1,0,0.64749,0.712895,-0.269328,2.53323e-05
-2.25,-0.75,0.25,-0.0653597,0.875909,-0.478029,1.67136e-06
-2,-1,-0.5,0.662566,0.691666,-0.287411,7.01749e-05
-1.75,-0.75,-0.25,0.050322,0.888724,-0.455672,5.2815e-06
-2.5,-1.5,0.5,0.610702,0.7503,-0.253166,1.29994e-05
-2.25,-1.25,0.75,-0.242196,0.874567,-0.420088,8.56474e-07
-2,-1.5,1,0.53969,0.787184,-0.298455,9.06338e-06
-1.75,-1.25,1.25,-0.294968,0.86315,-0.409837,6.87999e-07
-2.5,-1,1,0.612401,0.734596,-0.292119,6.65277e-06
-2.25,-0.75,1.25,0.09711,0.799637,-0.592579,3.8448e-07
-2,-1,0.5,0.593038,0.740166,-0.316954,1.689e-05
-1.75,-0.75,0.75,-0.119553,0.868761,-0.480584,1.28267e-06
-2.5,-1.5,1.5,0.590522,0.758259,-0.276273,3.65393e-06
-2,-1,1.5,0.55311,0.759115,-0.34324,4.85232e-06
-2.5,-0.5,-1.5,-0.408218,0.733898,-0.54291,1.17048e-05
-2.25,-0.25,-1.25,0.634887,0.701573,-0.323595,1.43934e-05
-2,-0.5,-1,0.469978,0.78215,-0.409099,4.4064e-05
-1.75,-0.25,-0.75,0.37151,0.82547,-0.424947,1.50497e-05
-2.5,0,-1,0.504408,0.761271,-0.40748,2.87031e-05
-2.25,0.25,-0.75,0.392394,0.813879,-0.428519,9.47951e-06
-2,0,-1.5,-0.292552,0.775659,-0.559254,1.53811e-05
-1.75,0.25,-1.25,0.601344,0.704795,-0.376362,1.74552e-05
-2.5,-0.5,-0.5,0.671674,0.684999,-0.282188,4.87112e-05
-2.25,-0.25,-0.25,0.103103,0.865741,-0.489757,3.18234e-06
-2,-0.5,0,0.624351,0.708126,-0.329763,3.2142e-05
-1.75,-0.25,0.25,-0.0199777,0.861503,-0.50736,2.38261e-06
-2.5,0,0,0.639017,0.69867,-0.321741,2.21902e-05
-2.25,0.25,0.25,0.0762394,0.832405,-0.548898,1.47739e-06
-2,0,-0.5,0.644406,0.684992,-0.339893,5.95161e-05
-1.75,0.25,-0.25,0.0989992,0.852578,-0.513137,4.24411e-06
-2.5,-0.5,0.5,0.630957,0.712492,-0.307,1.22259e-05
-2.25,-0.25,0.75,0.0798408,0.821857,-0.564071,7.89417e-07
-2,-0.5,1,0.582207,0.730782,-0.35636,8.62812e-06
-1.75,-0.25,1.25,0.110096,0.802662,-0.586185,6.44504e-07
-2.5,0,1,0.621092,0.704216,-0.343984,6.28571e-06
-2.25,0.25,1.25,0.32982,0.722836,-0.607229,4.71639e-07
-2,0,0.5,0.597957,0.712496,-0.367146,1.53437e-05
-1.75,0.25,0.75,0.0760625,0.819921,-0.567402,1.1794e-06
-2.5,-0.5,1.5,0.616075,0.712943,-0.334908,3.63217e-06
-2,0,1.5,0.571757,0.717663,-0.397561,4.63858e-06
-2.5,0.5,-1.5,-0.317722,0.725742,-0.610206,8.60436e-06
-2.25,0.75,-1.25,0.596797,0.711416,-0.371106,1.13894e-05
-2,0.5,-1,0.473374,0.755538,-0.452856,3.55835e-05
-1.75,0.75,-0.75,0.349137,0.812551,-0.46676,1.14571e-05
-2.5,1,-1,0.490797,0.747647,-0.447373,2.27964e-05
-2.25,1.25,-0.75,0.363074,0.808763,-0.462687,7.19014e-06
-2,1,-1.5,-0.246948,0.751995,-0.611163,1.09412e-05
-1.75,1.25,-1.25,0.55447,0.71991,-0.417482,1.28286e-05
-2.5,0.5,-0.5,0.644423,0.688754,-0.33217,3.97017e-05
-2.25,0.75,-0.25,0.142684,0.835613,-0.530464,2.62844e-06
-2,0.5,0,0.603367,0.702088,-0.378181,2.66793e-05
-1.75,0.75,0.25,0.0584766,0.827987,-0.557689,2.007e-06
-2.5,1,0,0.608268,0.703506,-0.367544,1.77796e-05
-2.25,1.25,0.25,0.125936,0.809641,-0.573255,1.278e-06
-2,1,-0.5,0.60785,0.694956,-0.384129,4.5641e-05
-1.75,1.25,-0.25,0.103876,0.830023,-0.54797,3.24211e-06
-2.5,0.5,0.5,0.616572,0.702157,-0.356111,1.06396e-05
-2.25,0.75,0.75,0.202373,0.783361,-0.5877,7.92193e-07
-2,0.5,1,0.577911,0.709518,-0.403241,7.74538e-06
-1.75,0.75,1.25,0.237911,0.763109,-0.600886,6.82947e-07
-2.5,1,1,0.598988,0.699953,-0.388946,5.42795e-06
-2.25,1.25,1.25,0.340276,0.732473,-0.589657,4.91545e-07
