x,y,z,directionX,directionY,directionZ,q_magnitude
-1,-1.5,-1,0.178177,-0.523575,0.83314,7.28714e-06
-0.75,-1.25,-0.75,0.122314,-0.60317,0.788178,3.05365e-06
-1.5,-1,-1,0.222304,-0.474153,0.851915,6.24083e-06
-1.25,-0.75,-0.75,0.170659,-0.55455,0.814463,2.5775e-06
-1,-1,-1.5,0.162924,-0.595715,0.786499,1.03574e-05
-0.75,-0.75,-1.25,0.23217,-0.470168,0.851492,2.94869e-06
-1.5,-1.5,-0.5,0.380425,-0.249648,0.890479,2.46159e-06
-1.25,-1.25,-0.25,0.101944,-0.596577,0.796055,1.08158e-06
-1,-1.5,0,0.332726,-0.347111,0.876816,1.83724e-06
-0.75,-1.25,0.25,0.075126,-0.579101,0.811787,9.38028e-07
-1.5,-1,0,0.377043,-0.299435,0.876457,1.69883e-06
-1.25,-0.75,0.25,0.141599,-0.53632,0.832052,8.07747e-07
-1,-1,-0.5,0.390177,-0.22377,0.893134,4.17205e-06
-0.75,-0.75,-0.25,0.14212,-0.559352,0.816656,1.70601e-06
-1.5,-1.5,0.5,0.314485,-0.408606,0.85682,8.1366e-07
-1.25,-1.25,0.75,0.0903146,-0.542412,0.835244,4.69926e-07
-1,-1.5,1,0.245698,-0.46694,0.84947,6.6521e-07
-0.75,-1.25,1.25,0.053281,-0.514136,0.856052,4.23084e-07
-1.5,-1,1,0.318678,-0.421061,0.849207,6.32483e-07
-1.25,-0.75,1.25,0.141045,-0.468693,0.872028,3.77278e-07
-1,-1,0.5,0.330342,-0.376376,0.865572,1.34993e-06
-0.75,-0.75,0.75,0.119508,-0.506071,0.854172,7.36555e-07
-1.5,-1.5,1.5,0.234468,-0.493367,0.837624,3.35842e-07
-1,-1,1.5,0.248985,-0.460024,0.852282,5.393e-07
-1.5,-0.5,-1.5,0.202305,-0.564609,0.800181,8.27124e-06
-1.25,-0.25,-1.25,0.275525,-0.410468,0.869254,2.43123e-06
-1,-0.5,-1,0.259339,-0.434813,0.86237,1.00357e-05
-0.75,-0.25,-0.75,0.21605,-0.510009,0.832594,4.04997e-06
-1.5,0,-1,0.298809,-0.396437,0.868073,7.95163e-06
-1.25,0.25,-0.75,0.263947,-0.472782,0.84072,3.16226e-06
-1,0,-1.5,0.249321,-0.528196,0.811695,1.27901e-05
-0.75,0.25,-1.25,0.317619,-0.353298,0.879942,3.82716e-06
-1.5,-0.5,-0.5,0.419166,-0.17691,0.890507,3.6852e-06
-1.25,-0.25,-0.25,0.19744,-0.522675,0.829354,1.39188e-06
-1,-0.5,0,0.390725,-0.269232,0.880255,2.83595e-06
-0.75,-0.25,0.25,0.177928,-0.499888,0.847616,1.26295e-06
-1.5,0,0,0.428001,-0.22639,0.874964,2.43535e-06
-1.25,0.25,0.25,0.239048,-0.468915,0.850279,1.00859e-06
-1,0,-0.5,0.430682,-0.14772,0.890332,6.15409e-06
-0.75,0.25,-0.25,0.240941,-0.485411,0.840431,2.16101e-06
-1.5,-0.5,0.5,0.38259,-0.332337,0.862077,1.21815e-06
-1.25,-0.25,0.75,0.193397,-0.466694,0.863015,6.21214e-07
-1,-0.5,1,0.33374,-0.387682,0.859256,1.02963e-06
-0.75,-0.25,1.25,0.167878,-0.431,0.886598,5.83577e-07
-1.5,0,1,0.390526,-0.347052,0.852669,9.12525e-07
-1.25,0.25,1.25,0.246991,-0.39445,0.885102,4.84122e-07
-1,0,0.5,0.397436,-0.299378,0.86742,1.99942e-06
-0.75,0.25,0.75,0.226506,-0.430049,0.87393,9.60167e-07
-1.5,-0.5,1.5,0.325196,-0.417551,0.848468,5.038e-07
-1,0,1.5,0.338582,-0.383537,0.859222,8.04122e-07
-1.5,0.5,-1.5,0.283048,-0.514344,0.809527,9.45072e-06
-1.25,0.75,-1.25,0.362386,-0.301908,0.881775,2.94153e-06
-1,0.5,-1,0.336928,-0.355922,0.871664,1.25423e-05
-0.75,0.75,-0.75,0.31233,-0.42687,0.848665,4.8815e-06
-1.5,1,-1,0.371779,-0.327922,0.868474,9.28368e-06
-1.25,1.25,-0.75,0.358348,-0.402055,0.842578,3.5644e-06
-1,1,-1.5,0.33131,-0.479287,0.812723,1.42293e-05
-0.75,1.25,-1.25,0.406171,-0.24101,0.881442,4.55951e-06
-1.5,0.5,-0.5,0.458286,-0.104007,0.882698,5.073e-06
-1.25,0.75,-0.25,0.291996,-0.463,0.836881,1.6393e-06
-1,0.5,0,0.442759,-0.193642,0.875481,4.00921e-06
-0.75,0.75,0.25,0.27842,-0.433297,0.857167,1.54948e-06
-1.5,1,0,0.475508,-0.154614,0.866018,3.22628e-06
-1.25,1.25,0.25,0.332704,-0.416428,0.846106,1.15732e-06
-1,1,-0.5,0.473022,-0.0707096,0.878208,8.34398e-06
