x,y,z,directionX,directionY,directionZ,q_magnitude
-2.5,-1.5,-1.5,0.798026,-0.01647,0.602397,4.05489e-07
-2.25,-1.25,-1.25,0.701642,0.396883,0.591762,2.59227e-07
-2,-1.5,-1,0.745738,-0.114253,0.65637,8.62772e-07
-1.75,-1.25,-0.75,0.677844,0.380168,0.629286,5.20983e-07
-2.5,-1,-1,0.761889,-0.118045,0.63686,5.42796e-07
-2.25,-0.75,-0.75,0.704234,0.373465,0.603803,3.53676e-07
-2,-1,-1.5,0.819168,0.0714864,0.569081,5.21693e-07
-1.75,-0.75,-1.25,0.700913,0.458143,0.54665,3.57361e-07
-2.5,-1.5,-0.5,0.649326,-0.294999,0.700965,9.56887e-07
-2.25,-1.25,-0.25,0.673898,0.291296,0.678975,5.16391e-07
-2,-1.5,0,0.574683,-0.388915,0.720059,2.46619e-06
-1.75,-1.25,0.25,0.659847,0.234363,0.713916,1.13204e-06
-2.5,-1,0,0.581299,-0.406571,0.704835,1.51064e-06
-2.25,-0.75,0.25,0.689962,0.245183,0.681056,7.58916e-07
-2,-1,-0.5,0.691563,-0.231307,0.684279,1.2453e-06
-1.75,-0.75,-0.25,0.688163,0.344291,0.638667,7.36801e-07
-2.5,-1.5,0.5,0.479043,-0.518053,0.708617,3.20787e-06
-2.25,-1.25,0.75,0.684251,0.0360092,0.728357,1.60501e-06
-2,-1.5,1,0.599497,-0.114505,0.792144,6.33512e-06
-1.75,-1.25,1.25,0.653583,-0.209186,0.727372,2.24928e-06
-2.5,-1,1,0.624863,-0.0970491,0.774679,4.06764e-06
-2.25,-0.75,1.25,0.683201,-0.197485,0.703019,1.44287e-06
-2,-1,0.5,0.520492,-0.489714,0.699477,4.22956e-06
-1.75,-0.75,0.75,0.715175,0.0920379,0.692859,2.32463e-06
-2.5,-1.5,1.5,0.655082,0.161276,0.738145,4.23707e-06
-2,-1,1.5,0.677391,0.196014,0.709028,6.40094e-06
-2.5,-0.5,-1.5,0.83326,0.068372,0.548637,3.3437e-07
-2.25,-0.25,-1.25,0.725337,0.441343,0.528302,2.42583e-07
-2,-0.5,-1,0.791587,-0.0345677,0.610078,6.91604e-07
-1.75,-0.25,-0.75,0.707966,0.427939,0.56183,4.87682e-07
-2.5,0,-1,0.806846,-0.0355881,0.589689,4.33531e-07
-2.25,0.25,-0.75,0.733626,0.414762,0.538298,3.2547e-07
-2,0,-1.5,0.842958,0.159936,0.513656,4.16944e-07
-1.75,0.25,-1.25,0.718922,0.49737,0.485566,3.21679e-07
-2.5,-0.5,-0.5,0.705464,-0.238316,0.667478,7.67064e-07
-2.25,-0.25,-0.25,0.71565,0.342125,0.60893,4.92487e-07
-2,-0.5,0,0.625294,-0.35732,0.69378,1.94069e-06
-1.75,-0.25,0.25,0.708847,0.292954,0.64165,1.07867e-06
-2.5,0,0,0.632361,-0.37044,0.680363,1.17451e-06
-2.25,0.25,0.25,0.735688,0.297143,0.608662,7.1155e-07
-2,0,-0.5,0.74323,-0.164426,0.648516,9.64037e-07
-1.75,0.25,-0.25,0.723965,0.39005,0.568978,6.77103e-07
-2.5,-0.5,0.5,0.516494,-0.514476,0.684506,2.56348e-06
-2.25,-0.25,0.75,0.744007,0.108338,0.659331,1.52256e-06
-2,-0.5,1,0.661636,-0.0396611,0.748775,5.71867e-06
-1.75,-0.25,1.25,0.725072,-0.139411,0.674415,1.99382e-06
-2.5,0,1,0.6862,-0.0219662,0.727081,3.62959e-06
-2.25,0.25,1.25,0.7518,-0.125311,0.647375,1.26494e-06
-2,0,0.5,0.557474,-0.480981,0.676668,3.2454e-06
-1.75,0.25,0.75,0.766703,0.160729,0.621556,2.13268e-06
-2.5,-0.5,1.5,0.704517,0.212994,0.676971,4.30077e-06
-2,0,1.5,0.724017,0.246579,0.644203,6.26265e-06
-2.5,0.5,-1.5,0.855639,0.156141,0.493459,2.67192e-07
-2.25,0.75,-1.25,0.743654,0.475788,0.469686,2.14966e-07
-2,0.5,-1,0.826082,0.0545433,0.560905,5.34671e-07
-1.75,0.75,-0.75,0.731297,0.465239,0.498756,4.30362e-07
-2.5,1,-1,0.840107,0.0560367,0.539519,3.35534e-07
