x,y,z,directionX,directionY,directionZ,q_magnitude
-2.5,-1.5,-1.5,-0.506904,0.116172,-0.854139,2.91491e-07
-2.25,-1.25,-1.25,0.840298,0.538008,-0.0666855,1.21005e-06
-2,-1.5,-1,-0.71637,0.355987,-0.600072,1.52288e-06
-1.75,-1.25,-0.75,0.782556,0.60693,-0.138717,2.9475e-06
-2.5,-1,-1,-0.614852,0.278319,-0.7379,8.39349e-07
-2.25,-0.75,-0.75,0.775046,0.613404,-0.151788,2.11071e-06
-2,-1,-1.5,-0.0797139,0.524388,-0.84774,4.33152e-07
-1.75,-0.75,-1.25,0.848655,0.51856,-0.104308,1.51699e-06
-2.5,-1.5,-0.5,-0.885742,0.0538175,-0.461048,2.97488e-06
-2.25,-1.25,-0.25,0.696937,0.69508,-0.176472,4.87295e-06
-2,-1.5,0,0.570978,0.777979,-0.262169,1.25305e-05
-1.75,-1.25,0.25,0.485075,0.821166,-0.300648,4.19613e-06
-2.5,-1,0,0.613192,0.744203,-0.264872,8.73274e-06
-2.25,-0.75,0.25,0.52684,0.789101,-0.315848,2.77435e-06
-2,-1,-0.5,-0.758849,0.34116,-0.55476,3.66882e-06
-1.75,-0.75,-0.25,0.68022,0.697671,-0.224847,6.14914e-06
-2.5,-1.5,0.5,0.721616,0.680551,-0.126963,1.76665e-05
-2.25,-1.25,0.75,0.18461,0.847966,-0.496862,6.16721e-07
-2,-1.5,1,0.70409,0.692567,-0.156867,1.11826e-05
-1.75,-1.25,1.25,-0.0231059,0.826445,-0.562543,3.89795e-07
-2.5,-1,1,0.713334,0.682283,-0.160141,7.96665e-06
-2.25,-0.75,1.25,0.241883,0.735889,-0.632424,2.62175e-07
-2,-1,0.5,0.711103,0.681015,-0.174789,2.16983e-05
-1.75,-0.75,0.75,0.183142,0.849402,-0.494949,9.65663e-07
-2.5,-1.5,1.5,0.71888,0.68137,-0.137649,4.27892e-06
-2,-1,1.5,0.702661,0.686005,-0.18885,5.39133e-06
-2.5,-0.5,-1.5,0.322587,0.477492,-0.817275,3.20054e-07
-2.25,-0.25,-1.25,0.830867,0.542104,-0.125634,1.11691e-06
-2,-0.5,-1,-0.353399,0.554166,-0.753664,1.17685e-06
-1.75,-0.25,-0.75,0.768365,0.608994,-0.19683,2.61188e-06
-2.5,0,-1,-0.19006,0.505853,-0.841422,7.09243e-07
-2.25,0.25,-0.75,0.756308,0.621349,-0.204753,1.79499e-06
-2,0,-1.5,0.416716,0.60346,-0.679841,5.38871e-07
-1.75,0.25,-1.25,0.825296,0.539086,-0.168148,1.37587e-06
-2.5,-0.5,-0.5,-0.745193,0.218637,-0.629988,2.12832e-06
-2.25,-0.25,-0.25,0.682426,0.693029,-0.23239,4.14921e-06
-2,-0.5,0,0.58505,0.747563,-0.314431,1.14132e-05
-1.75,-0.25,0.25,0.48806,0.796464,-0.35699,3.67938e-06
-2.5,0,0,0.608386,0.72772,-0.316685,7.70256e-06
-2.25,0.25,0.25,0.51448,0.775845,-0.365204,2.40784e-06
-2,0,-0.5,-0.582369,0.451686,-0.675889,2.76041e-06
-1.75,0.25,-0.25,0.658739,0.699056,-0.278179,5.13452e-06
-2.5,-0.5,0.5,0.711468,0.679525,-0.17905,1.49175e-05
-2.25,-0.25,0.75,0.28803,0.798925,-0.527975,6.3303e-07
-2,-0.5,1,0.696021,0.686619,-0.210022,9.90184e-06
-1.75,-0.25,1.25,0.221095,0.773233,-0.59433,4.33495e-07
-2.5,0,1,0.698868,0.6831,-0.212036,6.79942e-06
