x,y,z,directionX,directionY,directionZ,q_magnitude
-2.5,-1.5,-1.5,-0.356762,0.485556,-0.798095,0.000235317
-2.25,-1.25,-1.25,-0.0893213,0.456578,-0.885188,6.16545e-05
-2,-1.5,-1,-0.281612,0.427701,-0.858933,0.00028425
-1.75,-1.25,-0.75,-0.370345,0.352964,-0.859221,5.96122e-05
-2.5,-1,-1,-0.200506,0.472312,-0.858324,0.000309959
-2.25,-0.75,-0.75,-0.308714,0.406652,-0.859843,6.74045e-05
-2,-1,-1.5,-0.413366,0.42513,-0.805228,0.00020504
-1.75,-0.75,-1.25,-0.210407,0.413691,-0.88577,4.50964e-05
-2.5,-1.5,-0.5,-0.0327673,0.490147,-0.871024,0.000280424
-2.25,-1.25,-0.25,-0.423324,0.315439,-0.849291,3.14367e-05
-2,-1.5,0,-0.19775,0.424738,-0.883455,0.000116016
-1.75,-1.25,0.25,-0.536389,0.116393,-0.835907,1.40313e-05
-2.5,-1,0,-0.13086,0.469134,-0.873378,0.000117818
-2.25,-0.75,0.25,-0.462758,0.223266,-0.857909,1.65299e-05
-2,-1,-0.5,-0.102555,0.455967,-0.884068,0.000187507
-1.75,-0.75,-0.25,-0.477964,0.243402,-0.843982,2.37737e-05
-2.5,-1.5,0.5,-0.231745,0.441862,-0.866633,7.61333e-05
-2.25,-1.25,0.75,-0.53382,0.107012,-0.838799,1.02698e-05
-2,-1.5,1,-0.385167,0.317783,-0.866406,3.22572e-05
-1.75,-1.25,1.25,-0.570486,-0.157444,-0.806075,4.76678e-06
-2.5,-1,1,-0.33102,0.380276,-0.863607,3.10566e-05
-2.25,-0.75,1.25,-0.510666,0.0130202,-0.85968,5.47036e-06
-2,-1,0.5,-0.295378,0.374014,-0.879128,4.75686e-05
-1.75,-0.75,0.75,-0.534049,0.0060719,-0.845432,7.58935e-06
-2.5,-1.5,1.5,-0.412488,0.326212,-0.850552,2.11859e-05
-2,-1,1.5,-0.469678,0.210353,-0.857411,1.27197e-05
-2.5,-0.5,-1.5,-0.330659,0.473514,-0.816363,0.000219698
-2.25,-0.25,-1.25,-0.150804,0.446412,-0.882029,4.85403e-05
-2,-0.5,-1,-0.278631,0.418219,-0.864556,0.000217618
-1.75,-0.25,-0.75,-0.391796,0.341701,-0.854246,4.72059e-05
