x,y,z,directionX,directionY,directionZ,q_magnitude
-2.5,-1.5,-1.5,-0.108667,0.257455,-0.960161,3.9864e-05
-2.25,-1.25,-1.25,0.00261335,0.332539,-0.943086,1.5936e-05
-2,-1.5,-1,-0.0413417,0.2698,-0.962029,5.31436e-05
-1.75,-1.25,-0.75,-0.165135,0.194958,-0.96681,1.63982e-05
-2.5,-1,-1,-0.0303925,0.375722,-0.926234,7.39861e-05
-2.25,-0.75,-0.75,-0.233338,0.285594,-0.92951,2.21139e-05
-2,-1,-1.5,-0.0958449,0.281384,-0.954797,5.62871e-05
-1.75,-0.75,-1.25,-0.0626414,0.288852,-0.955322,2.09641e-05
-2.5,-1.5,-0.5,-0.0175331,0.352001,-0.935835,5.88568e-05
-2.25,-1.25,-0.25,-0.343983,0.15123,-0.926718,1.55131e-05
-2,-1.5,0,-0.0325097,0.33513,-0.941611,5.66344e-05
-1.75,-1.25,0.25,-0.430147,-0.0133967,-0.90266,1.24395e-05
-2.5,-1,0,-0.0371078,0.429836,-0.902144,7.26656e-05
-2.25,-0.75,0.25,-0.531029,0.0985482,-0.841604,1.60205e-05
-2,-1,-0.5,-0.0441302,0.361688,-0.931254,7.97978e-05
-1.75,-0.75,-0.25,-0.383443,0.146612,-0.911853,1.93509e-05
-2.5,-1.5,0.5,-0.0425986,0.40084,-0.915157,4.72641e-05
-2.25,-1.25,0.75,-0.576385,-0.0521475,-0.815513,1.00476e-05
-2,-1.5,1,-0.0778455,0.367411,-0.926795,3.54335e-05
-1.75,-1.25,1.25,-0.568768,-0.223065,-0.791673,6.4174e-06
-2.5,-1,1,-0.0846855,0.453209,-0.887373,3.91577e-05
-2.25,-0.75,1.25,-0.647331,-0.092448,-0.756582,6.93672e-06
-2,-1,0.5,-0.0803473,0.400109,-0.912939,5.73313e-05
-1.75,-0.75,0.75,-0.550833,-0.0613713,-0.832356,1.0149e-05
-2.5,-1.5,1.5,-0.0930156,0.419036,-0.903193,2.32876e-05
-2,-1,1.5,-0.11391,0.406101,-0.906701,2.42991e-05
-2.5,-0.5,-1.5,-0.075453,0.401173,-0.912889,8.48666e-05
-2.25,-0.25,-1.25,-0.122613,0.387106,-0.913846,3.06026e-05
-2,-0.5,-1,-0.0471267,0.388999,-0.920032,0.000104584
-1.75,-0.25,-0.75,-0.300271,0.249229,-0.920718,2.74658e-05
-2.5,0,-1,-0.013351,0.4911,-0.871001,0.000155106
-2.25,0.25,-0.75,-0.357586,0.354855,-0.863834,3.87057e-05
-2,0,-1.5,-0.0998156,0.408222,-0.907409,0.000125349
-1.75,0.25,-1.25,-0.193816,0.378234,-0.905193,4.2322e-05
-2.5,-0.5,-0.5,-0.0322675,0.460918,-0.886856,0.000108869
-2.25,-0.25,-0.25,-0.430583,0.259704,-0.86438,2.53479e-05
-2,-0.5,0,-0.0872989,0.430593,-0.898314,9.20049e-05
-1.75,-0.25,0.25,-0.530573,0.10961,-0.840523,1.7048e-05
-2.5,0,0,-0.0846206,0.520147,-0.849875,0.000110875
-2.25,0.25,0.25,-0.507155,0.236523,-0.828764,1.81924e-05
-2,0,-0.5,-0.0703311,0.459618,-0.885328,0.00014024
-1.75,0.25,-0.25,-0.477151,0.220281,-0.850766,2.61088e-05
-2.5,-0.5,0.5,-0.0818088,0.487063,-0.869527,6.57739e-05
-2.25,-0.25,0.75,-0.616479,0.0305912,-0.786777,1.11698e-05
-2,-0.5,1,-0.126411,0.432657,-0.892652,4.069e-05
-1.75,-0.25,1.25,-0.569917,-0.0893279,-0.816833,5.86846e-06
-2.5,0,1,-0.131024,0.511092,-0.849481,3.9397e-05
-2.25,0.25,1.25,-0.619163,0.0745295,-0.781717,5.8087e-06
-2,0,0.5,-0.137729,0.459226,-0.877577,6.72197e-05
-1.75,0.25,0.75,-0.540727,0.0802518,-0.837361,9.61211e-06
-2.5,-0.5,1.5,-0.133103,0.481389,-0.866342,2.36397e-05
-2,0,1.5,-0.237853,0.425693,-0.873047,2.09369e-05
-2.5,0.5,-1.5,-0.0452346,0.509795,-0.859106,0.000198262
-2.25,0.75,-1.25,-0.169453,0.464161,-0.869391,5.99749e-05
-2,0.5,-1,-0.0730055,0.477937,-0.875355,0.000207662
-1.75,0.75,-0.75,-0.364366,0.354245,-0.861248,4.3636e-05
-2.5,1,-1,-0.0485187,0.564394,-0.824078,0.000283662
-2.25,1.25,-0.75,-0.310214,0.46435,-0.829546,4.81272e-05
-2,1,-1.5,-0.0741241,0.498766,-0.863561,0.000265608
-1.75,1.25,-1.25,-0.263957,0.428408,-0.864172,6.05654e-05
-2.5,0.5,-0.5,-0.0364983,0.552198,-0.832913,0.00018014
-2.25,0.75,-0.25,-0.400858,0.383631,-0.83195,2.97082e-05
-2,0.5,0,-0.148131,0.490761,-0.85861,0.000106776
-1.75,0.75,0.25,-0.486193,0.246776,-0.838283,1.52486e-05
-2.5,1,0,-0.171108,0.520219,-0.836716,8.90641e-05
-2.25,1.25,0.25,-0.512708,0.291207,-0.807669,9.20794e-06
-2,1,-0.5,-0.120452,0.521573,-0.844661,0.000176619
-1.75,1.25,-0.25,-0.476626,0.296682,-0.827531,1.52045e-05
-2.5,0.5,0.5,-0.178908,0.515783,-0.83783,6.34779e-05
-2.25,0.75,0.75,-0.565629,0.231806,-0.79141,1.0411e-05
-2,0.5,1,-0.240573,0.460353,-0.854517,3.46061e-05
-1.75,0.75,1.25,-0.631106,0.00137671,-0.775696,3.2167e-06
-2.5,1,1,-0.220572,0.498708,-0.838235,2.78331e-05
-2.25,1.25,1.25,-0.638576,0.0746012,-0.765934,2.68255e-06
-2,1,0.5,-0.301688,0.418967,-0.856417,4.82842e-05
-1.75,1.25,0.75,-0.58967,0.0536317,-0.805862,4.16321e-06
-2.5,0.5,1.5,-0.302461,0.449662,-0.840429,1.66697e-05
-2,1,1.5,-0.337418,0.399605,-0.852329,1.26915e-05
-2.5,1.5,-1.5,0.0200541,0.576241,-0.817034,0.00039658
-2,1.5,-1,-0.118708,0.513574,-0.849794,0.000240725
-2.5,1.5,-0.5,-0.0462864,0.549643,-0.834116,0.000146609
-2,1.5,0,-0.207044,0.478469,-0.853347,7.14683e-05
-2.5,1.5,0.5,-0.233501,0.517258,-0.82336,4.17457e-05
-2,1.5,1,-0.346449,0.417447,-0.840066,2.08662e-05
