x,y,z,directionX,directionY,directionZ,q_magnitude
-1.5,-1.5,-1.5,0.256201,-0.255679,-0.932196,1.79266e-06
-1.25,-1.25,-1.25,0.245114,0.238674,-0.939656,9.92286e-07
-1,-1.5,-1,0.407035,-0.240322,-0.881231,4.44957e-06
-0.75,-1.25,-0.75,0.292898,0.430654,-0.853667,2.44016e-06
-1.5,-1,-1,0.352178,-0.296227,-0.887817,3.32229e-06
-1.25,-0.75,-0.75,0.362897,0.336988,-0.868761,2.12358e-06
-1,-1,-1.5,0.193446,-0.256206,-0.947068,2.03883e-06
-0.75,-0.75,-1.25,0.112736,0.214943,-0.970098,1.10524e-06
-1.5,-1.5,-0.5,0.463426,-0.372154,-0.8042,6.60058e-06
-1.25,-1.25,-0.25,0.471313,0.476721,-0.742025,4.03187e-06
-1,-1.5,0,0.572249,-0.358247,-0.737692,2.23145e-05
-0.75,-1.25,0.25,0.521119,0.519674,-0.677033,1.24449e-05
-1.5,-1,0,0.412285,-0.498996,-0.762249,1.31626e-05
-1.25,-0.75,0.25,0.519015,0.461632,-0.719388,7.8423e-06
-1,-1,-0.5,0.475351,-0.30202,-0.826333,9.53571e-06
-0.75,-0.75,-0.25,0.406564,0.457659,-0.79073,5.86658e-06
-1.5,-1.5,0.5,0.426645,-0.594484,-0.681588,3.37431e-05
-1.25,-1.25,0.75,0.592477,0.421906,-0.68627,2.15365e-05
-1,-1.5,1,0.653462,-0.0758033,-0.753154,9.2345e-05
-0.75,-1.25,1.25,0.647563,0.210532,-0.732351,4.41726e-05
-1.5,-1,1,0.516224,-0.211016,-0.830051,5.58211e-05
-1.25,-0.75,1.25,0.580487,0.193565,-0.790928,2.89464e-05
-1,-1,0.5,0.502692,-0.489273,-0.71268,5.08257e-05
-0.75,-0.75,0.75,0.563728,0.377432,-0.73468,3.23054e-05
-1.5,-1.5,1.5,0.627313,0.0165442,-0.778591,8.5976e-05
-1,-1,1.5,0.619614,0.063361,-0.782345,0.000135977
-1.5,-0.5,-1.5,0.20695,-0.26481,-0.941832,1.75441e-06
-1.25,-0.25,-1.25,0.227946,0.154646,-0.961314,1.11957e-06
-1,-0.5,-1,0.327349,-0.275875,-0.903734,4.26421e-06
-0.75,-0.25,-0.75,0.276208,0.317093,-0.907282,2.70502e-06
-1.5,0,-1,0.281994,-0.325405,-0.902547,3.02845e-06
-1.25,0.25,-0.75,0.330991,0.236356,-0.913554,2.14753e-06
-1,0,-1.5,0.140164,-0.289415,-0.946886,1.94353e-06
-0.75,0.25,-1.25,0.111395,0.123258,-0.986103,1.22573e-06
-1.5,-0.5,-0.5,0.367155,-0.400058,-0.839733,5.94714e-06
-1.25,-0.25,-0.25,0.431519,0.377189,-0.819463,3.95898e-06
-1,-0.5,0,0.455659,-0.421388,-0.784096,1.97941e-05
-0.75,-0.25,0.25,0.484634,0.413423,-0.770851,1.18559e-05
-1.5,0,0,0.291531,-0.525964,-0.798981,1.1674e-05
-1.25,0.25,0.25,0.473369,0.360088,-0.803902,7.54488e-06
-1,0,-0.5,0.376363,-0.36162,-0.852984,8.52114e-06
-0.75,0.25,-0.25,0.377315,0.338795,-0.861888,5.73654e-06
-1.5,-0.5,0.5,0.295198,-0.619508,-0.727371,3.07161e-05
-1.25,-0.25,0.75,0.525641,0.341651,-0.779086,2.12682e-05
-1,-0.5,1,0.537312,-0.153394,-0.829317,8.81879e-05
-0.75,-0.25,1.25,0.555855,0.13792,-0.819758,4.37e-05
-1.5,0,1,0.390356,-0.243335,-0.887925,5.41427e-05
-1.25,0.25,1.25,0.48956,0.114628,-0.864402,2.86761e-05
-1,0,0.5,0.361487,-0.547682,-0.754567,4.46685e-05
-0.75,0.25,0.75,0.494462,0.275938,-0.824236,3.04349e-05
-1.5,-0.5,1.5,0.505826,-0.0202144,-0.862398,8.52418e-05
-1,0,1.5,0.514672,-0.0226764,-0.857087,0.000133583
-1.5,0.5,-1.5,0.169137,-0.295657,-0.940202,1.59057e-06
-1.25,0.75,-1.25,0.212677,0.0739897,-0.974317,1.13551e-06
-1,0.5,-1,0.252763,-0.334017,-0.908044,3.79792e-06
-0.75,0.75,-0.75,0.256086,0.204458,-0.944784,2.6848e-06
-1.5,1,-1,0.217066,-0.366646,-0.904684,2.6361e-06
-1.25,1.25,-0.75,0.304417,0.138735,-0.942381,2.05545e-06
-1,1,-1.5,0.0991551,-0.340509,-0.934998,1.6865e-06
