index,x,y
81,55,47
75,80,49
10,100,47
16,125,45
14,111,46
79,69,47
36,120,74
20,139,67
9,104,63
101,58,74
73,35,72
74,74,65
67,82,104
2,97,103
85,47,73
54,88,85
8,140,75
18,139,86
41,103,76
40,99,140
83,45,88
105,80,136
88,33,96
99,65,113
34,113,114
23,142,98
126,76,109
61,103,108
90,54,108
25,124,108
7,144,112
72,35,114
112,60,123
47,118,123
71,43,126
6,138,125
59,103,130
124,74,132
125,62,126
60,116,127
5,133,142
70,45,143
109,67,138
44,111,138
102,67,152
37,111,152
53,89,143
52,88,151
69,52,169
4,126,169
3,103,182
68,77,183
