index,x,y
81,55,47
75,81,48
10,98,45
16,126,46
14,111,46
79,69,47
9,102,61
20,139,67
36,120,75
73,37,71
101,58,74
74,74,64
67,82,105
2,97,105
8,140,74
85,50,75
54,89,85
18,141,84
40,99,133
105,80,136
83,48,87
88,36,95
23,140,97
99,65,113
34,113,113
126,75,110
53,89,140
61,104,108
90,54,108
25,124,108
7,144,112
112,61,124
47,118,123
72,35,114
71,43,126
59,104,128
6,138,125
124,74,131
125,62,125
60,116,127
5,134,142
70,44,143
109,67,136
44,111,136
102,67,152
37,111,152
52,88,151
69,52,168
4,126,168
3,103,181
68,77,183
