index,x,y
16,118,36
81,59,40
75,84,37
10,97,36
36,122,63
15,138,58
101,59,64
76,75,61
11,105,60
80,43,63
85,35,77
93,87,71
28,91,72
20,145,81
2,97,141
67,81,136
41,108,80
27,112,84
106,73,84
83,34,104
92,64,86
18,143,107
61,101,104
126,76,106
99,67,117
34,110,117
60,115,126
47,120,132
112,58,132
90,51,131
125,63,126
25,127,131
62,109,121
127,69,122
71,37,132
6,141,131
59,100,141
124,77,143
5,134,153
70,45,154
52,89,155
102,68,162
37,110,162
40,97,163
105,81,164
89,80,172
24,98,172
69,54,179
4,125,178
68,77,187
3,104,187
