index,x,y
16,117,35
81,64,36
10,96,34
75,85,36
11,106,61
15,137,57
76,74,63
80,44,59
101,57,69
77,69,49
36,124,69
93,86,71
28,92,71
85,34,79
20,145,84
67,85,155
41,109,82
27,116,85
92,62,87
106,70,86
83,34,108
78,74,86
13,104,86
61,102,103
18,143,112
99,66,116
34,110,116
126,76,105
128,83,97
63,95,97
60,114,128
47,119,132
112,58,134
90,50,131
25,128,132
125,63,128
62,109,121
127,69,122
71,38,134
6,140,134
59,100,142
124,77,143
70,45,155
5,133,155
52,89,153
102,68,162
37,110,162
2,92,166
105,81,162
40,97,162
89,81,172
24,97,172
69,54,179
4,125,179
3,103,186
68,76,187
