index,x,y
81,59,41
75,80,43
10,101,42
16,120,37
36,122,63
101,60,64
11,103,58
15,140,57
76,77,60
80,42,64
85,36,77
20,143,76
93,88,72
28,90,72
67,79,121
2,100,123
41,107,79
106,74,83
83,33,103
27,110,84
92,65,86
18,143,101
54,89,87
61,101,104
126,76,106
99,67,117
34,110,118
47,120,129
60,115,124
90,51,129
25,127,129
112,58,131
125,63,125
62,108,123
127,70,124
71,37,129
6,143,127
59,100,141
124,77,142
5,134,153
70,45,154
103,62,148
52,89,156
102,68,161
37,110,161
40,98,163
105,81,164
69,54,179
89,82,169
4,125,178
3,104,186
68,77,186
