index,x,y
10,95,30
16,115,31
81,66,32
75,85,33
11,106,59
76,73,62
15,131,50
80,47,54
77,61,56
12,127,61
28,95,71
93,83,71
111,52,86
46,126,87
19,140,71
85,30,91
20,147,88
84,43,75
27,119,90
78,70,88
41,111,87
92,58,92
13,105,90
128,83,101
63,96,101
106,67,91
126,65,100
61,113,99
83,36,121
18,143,119
90,50,132
25,126,133
72,22,117
60,110,133
125,66,133
53,74,119
45,117,134
110,60,137
99,74,141
124,78,142
59,100,141
34,104,142
70,45,157
67,87,157
2,92,157
5,133,157
52,88,152
102,71,162
37,107,162
86,62,170
40,97,158
21,116,170
105,81,160
89,82,173
24,96,173
69,53,179
3,102,186
4,126,180
68,77,187
