index,x,y
81,59,41
10,103,46
16,123,40
75,78,48
36,121,64
101,60,63
11,102,56
76,79,58
15,143,60
80,41,64
20,142,74
85,37,77
67,79,119
2,99,116
93,89,73
41,106,79
106,75,82
83,33,102
18,144,100
54,90,88
27,111,85
92,66,87
61,101,104
126,77,106
99,67,116
34,111,116
47,120,128
90,52,127
60,115,124
25,126,128
112,58,130
125,63,125
71,37,128
6,143,126
62,109,124
127,69,125
124,76,141
59,101,141
5,134,150
70,45,152
102,68,160
37,110,160
52,89,156
40,98,163
105,81,164
69,54,178
4,126,176
3,105,186
68,76,187
