index,x,y
16,114,31
10,98,27
81,65,32
76,74,59
11,105,57
80,48,51
15,130,47
77,59,59
12,126,62
28,96,71
93,82,71
111,52,86
46,126,88
19,141,71
20,147,89
85,30,94
84,41,74
78,69,89
13,108,89
128,83,100
63,96,101
27,121,92
41,112,89
92,57,94
106,66,92
61,114,100
18,143,120
83,36,123
90,51,133
25,126,134
45,117,134
110,60,136
125,68,136
60,107,135
99,74,144
59,101,141
34,104,144
124,77,142
67,87,156
2,92,155
70,45,156
5,133,157
102,72,163
37,106,163
86,63,170
21,115,170
40,98,159
105,81,160
89,83,174
24,96,173
69,51,179
4,127,179
68,78,188
3,101,188
