index,x,y
81,55,47
75,79,50
10,100,48
16,125,45
14,111,45
79,69,46
101,58,72
36,120,73
20,140,68
9,105,62
73,33,71
67,81,102
2,97,101
85,45,73
54,89,84
41,101,76
18,139,88
83,43,89
106,78,79
105,81,152
40,99,154
88,31,98
99,65,114
34,113,114
23,144,99
126,76,109
61,102,108
90,54,109
25,124,109
7,144,112
72,35,114
112,60,124
47,118,123
71,42,126
6,138,125
59,103,131
125,62,125
124,74,134
60,116,127
5,133,144
70,45,145
102,67,152
37,111,152
53,89,144
52,88,152
69,52,170
4,126,171
3,103,182
68,77,183
