index,x,y
16,114,31
10,96,29
81,65,32
75,83,30
11,105,58
76,74,60
15,130,48
80,48,52
77,59,58
12,126,63
28,95,71
93,83,71
111,52,86
46,126,87
19,141,70
20,147,88
85,30,92
84,41,74
78,70,89
13,107,89
27,120,91
128,83,100
63,96,100
41,112,88
92,57,93
106,67,91
126,65,99
61,113,100
83,36,122
18,143,119
90,51,132
25,126,134
45,117,133
53,74,118
110,60,137
125,67,134
60,109,134
99,75,141
34,104,143
59,101,142
124,77,144
70,45,157
67,87,156
2,92,156
5,133,157
52,89,151
102,72,162
37,106,162
86,62,170
40,97,158
21,116,170
105,81,160
89,83,174
24,96,173
69,52,179
4,127,179
3,101,187
68,78,187
