index,x,y
16,115,33
10,96,31
81,66,35
75,85,33
11,106,61
15,134,54
76,73,62
80,45,57
77,65,53
12,124,61
93,85,71
28,93,71
101,55,69
36,124,70
85,32,88
20,145,86
19,139,70
111,51,93
46,127,93
92,60,89
41,111,86
27,118,87
67,87,163
78,73,88
13,104,88
106,67,88
83,35,117
128,82,103
63,95,103
126,72,101
61,106,100
18,143,118
112,59,133
47,119,131
125,63,129
90,50,131
99,72,129
34,106,130
60,113,129
25,127,132
127,68,123
62,108,123
110,54,130
59,100,141
124,78,142
70,46,157
5,132,157
52,89,151
102,69,162
37,109,162
2,92,164
40,97,160
86,61,164
105,81,161
21,117,164
89,81,172
24,97,172
69,54,179
4,124,179
3,102,186
68,76,187
