index,x,y
16,116,34
81,65,35
10,96,32
75,85,34
11,106,61
80,45,57
76,73,63
15,134,56
77,66,52
12,124,62
101,54,74
36,125,74
93,85,72
28,93,72
85,33,87
20,145,86
19,137,70
67,86,160
41,110,84
92,61,89
27,117,86
106,68,87
78,74,87
13,104,87
83,35,115
63,96,104
128,82,104
99,65,115
34,113,114
61,103,101
126,73,102
18,143,117
47,119,131
112,58,134
125,63,129
60,114,128
90,50,131
25,127,132
127,68,122
62,109,121
59,100,141
124,78,143
70,46,156
5,132,156
52,89,152
102,69,162
37,109,161
2,92,165
105,81,161
40,97,161
89,81,171
24,97,171
69,54,179
4,125,179
3,103,186
68,76,186
