index,x,y
16,117,36
81,61,38
10,97,34
75,85,36
15,138,58
11,105,61
76,75,62
36,123,65
101,58,66
80,44,61
85,35,78
93,87,72
28,91,72
20,146,83
67,84,153
41,109,81
2,93,162
106,70,85
27,114,84
92,62,87
83,34,106
18,142,110
61,102,103
99,67,116
126,76,105
34,110,117
60,115,127
112,58,134
47,119,132
90,50,131
25,127,131
125,63,128
62,109,121
127,70,122
71,38,133
6,140,132
59,100,142
124,77,143
5,133,154
70,45,155
52,89,154
102,68,162
37,110,162
105,81,163
40,97,162
89,80,172
24,98,172
69,55,180
4,125,179
3,103,187
68,77,187
