index,x,y
81,59,41
75,78,46
10,103,45
16,121,38
36,122,64
101,59,64
11,103,57
15,141,58
76,78,59
80,41,64
85,36,77
20,143,75
93,88,72
28,91,72
67,79,119
2,99,120
41,107,78
106,74,83
83,33,102
27,110,84
18,144,101
92,66,87
54,88,87
61,101,104
126,76,106
99,67,117
34,110,117
47,120,129
90,51,128
60,115,124
25,127,128
112,58,131
125,63,125
62,108,124
71,37,129
127,70,125
6,143,127
59,101,141
124,77,142
5,134,152
70,45,153
102,68,161
37,110,161
52,89,156
40,98,163
105,81,164
69,54,179
4,126,177
3,105,186
68,76,187
