index,x,y
16,114,31
10,98,27
81,65,32
76,75,58
11,105,56
80,49,50
15,130,46
77,59,59
12,126,63
28,96,70
93,82,70
111,51,86
46,126,87
19,142,72
20,148,90
84,39,74
85,30,95
78,68,89
13,109,89
63,96,101
128,83,100
27,122,93
92,56,96
41,112,91
106,65,93
18,143,120
83,37,123
90,51,133
25,126,134
45,116,134
110,60,137
125,67,137
60,108,136
124,78,143
67,87,155
2,92,155
70,45,156
59,103,144
5,133,156
86,62,169
21,116,169
102,73,163
37,105,163
40,99,158
105,80,159
89,83,173
24,96,173
69,51,178
4,127,178
68,77,187
3,101,186
87,80,193
22,98,193
