index,x,y
81,55,47
10,98,42
75,82,47
16,126,47
14,111,47
79,69,48
9,102,61
20,138,66
74,78,63
73,38,71
101,58,75
36,120,77
67,83,107
2,96,108
8,140,74
54,89,86
18,144,81
85,51,75
40,99,132
41,104,76
105,80,137
83,45,82
88,37,95
23,139,96
99,65,109
34,113,110
59,104,126
103,61,123
53,89,138
38,117,123
90,55,108
25,123,108
7,144,112
126,72,106
61,107,108
72,35,114
71,43,126
124,73,129
6,138,125
109,67,135
44,111,135
5,134,141
70,44,142
102,67,152
37,111,152
69,52,167
52,88,151
4,126,168
3,103,181
68,78,182
