index,x,y
16,118,36
81,60,39
75,84,36
10,97,35
15,138,58
76,75,62
11,105,61
101,59,65
36,123,65
80,43,62
85,35,77
93,87,71
28,91,72
20,145,82
67,83,148
41,108,80
2,94,161
27,113,84
106,72,84
83,34,105
92,62,86
18,143,108
61,101,103
99,67,116
126,76,105
34,110,117
60,115,127
47,120,132
112,58,132
90,50,131
125,63,127
25,127,131
62,109,121
127,70,123
71,37,132
6,141,132
5,134,154
59,100,142
124,77,143
70,45,154
52,89,154
102,68,162
37,110,162
105,81,163
40,97,163
89,80,172
24,98,172
69,54,180
4,125,179
68,77,187
3,104,187
