index,x,y
81,56,46
75,80,49
10,101,48
16,124,43
79,73,45
14,110,45
101,60,67
36,121,70
20,141,69
76,89,61
11,91,62
85,39,72
9,107,63
67,80,104
2,98,102
54,90,83
41,101,76
83,36,94
106,77,79
18,141,93
99,66,116
34,112,115
88,32,96
126,77,108
61,101,107
23,146,97
90,54,118
25,124,118
112,59,124
47,119,124
7,147,113
72,37,113
71,38,125
6,140,125
125,63,124
60,115,124
59,102,135
124,75,137
5,133,147
70,45,147
102,67,154
37,111,154
53,89,145
52,89,153
40,98,160
105,81,161
69,53,173
4,125,174
3,104,184
68,76,185
