index,x,y
10,96,31
16,115,31
81,66,33
75,85,33
11,106,60
76,73,62
15,132,51
80,46,55
77,64,52
12,126,63
28,94,71
93,84,71
111,53,87
46,125,88
19,140,69
85,31,89
20,146,87
84,45,75
27,119,88
92,59,90
78,71,88
41,111,87
13,104,89
106,68,90
128,84,102
63,95,102
61,112,98
126,66,99
83,36,120
18,143,118
90,51,132
112,57,109
25,126,133
60,112,130
127,68,123
62,109,123
125,65,131
45,117,135
110,60,137
99,74,140
124,78,143
59,100,141
34,104,142
70,45,157
52,88,152
5,133,156
67,87,160
2,92,160
102,70,162
37,108,162
86,60,165
21,118,165
40,97,159
105,81,161
89,82,173
24,96,173
69,54,179
3,103,186
4,125,180
68,76,187
