index,x,y
16,113,30
10,98,26
81,65,31
80,50,49
76,75,58
11,104,55
15,129,45
77,59,60
12,125,63
28,96,70
93,82,70
111,51,86
46,127,87
19,140,76
84,41,77
20,148,91
85,29,96
78,68,90
13,109,90
128,84,101
63,95,101
27,122,95
92,56,97
41,112,92
106,65,94
18,142,121
83,38,124
90,51,134
25,125,135
45,116,136
110,61,137
125,68,137
60,109,136
70,45,156
5,133,156
89,83,171
24,96,170
67,87,155
2,92,155
86,62,169
21,116,169
102,73,163
37,105,163
40,98,157
69,51,178
4,128,178
68,78,187
3,100,186
87,79,192
22,99,192
