index,x,y
81,56,46
75,80,50
10,101,48
16,124,44
14,111,45
79,70,46
101,59,69
36,120,71
20,140,69
9,106,63
85,40,72
76,89,62
11,91,62
67,80,103
2,98,102
54,89,83
41,100,76
83,36,92
18,141,91
106,77,79
88,32,98
99,66,115
34,112,115
23,144,99
126,76,108
61,102,107
90,54,116
25,124,116
7,146,112
112,59,123
47,119,123
72,34,114
71,41,126
6,139,125
125,62,125
60,116,125
59,103,134
124,75,135
5,133,146
70,45,146
102,67,154
37,111,153
53,89,145
52,88,152
40,98,159
105,81,160
69,53,172
4,125,173
3,103,183
68,77,184
