index,x,y
16,116,34
81,65,35
10,96,33
75,85,35
11,106,61
15,135,56
80,44,58
76,73,63
77,66,52
12,116,55
101,55,72
36,124,71
93,86,72
28,92,72
85,33,84
20,145,84
67,86,161
41,109,83
27,116,86
92,61,88
106,69,86
78,74,86
13,104,86
83,34,112
63,95,102
99,67,116
128,83,102
34,110,117
18,143,114
126,74,104
61,102,103
60,114,128
47,120,131
112,58,134
125,63,129
90,50,131
25,127,132
62,109,120
127,68,121
59,100,142
124,77,143
70,45,156
5,133,155
52,89,153
102,69,162
37,109,162
2,92,165
105,81,162
40,97,161
89,81,172
24,97,172
69,54,179
4,125,179
3,103,186
68,76,187
