index,x,y
81,56,46
75,79,50
16,125,44
10,101,48
14,111,45
79,70,46
101,58,71
36,120,72
20,140,69
9,105,62
73,32,71
67,81,101
2,98,100
85,45,73
54,89,84
41,100,76
8,149,75
18,140,89
83,37,91
106,77,79
105,81,154
88,32,99
99,65,114
34,112,114
23,144,100
126,76,109
61,102,107
90,54,111
25,124,111
7,145,112
72,33,114
112,59,123
47,119,123
71,41,126
6,139,125
59,103,133
125,62,126
60,116,127
124,75,134
5,133,145
70,45,146
102,67,152
37,111,152
53,89,145
52,88,152
40,98,158
69,53,172
4,125,172
3,103,183
68,77,184
